Linux 3.13.0-68-generic (ds-server2) 	07/13/2016 	_x86_64_	(24 CPU)

06:41:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:41:24 PM  all    0.25    0.00    1.92    7.15    0.00    0.00    0.00    0.00    0.00   90.68
06:41:25 PM  all    0.21    0.00    0.96    7.27    0.00    0.00    0.00    0.00    0.00   91.56
06:41:26 PM  all    0.13    0.00    1.30    8.41    0.00    0.00    0.00    0.00    0.00   90.16
06:41:27 PM  all    0.00    0.00    0.13    8.10    0.00    0.00    0.00    0.00    0.00   91.77
06:41:28 PM  all    0.04    0.00    1.29    8.10    0.00    0.00    0.00    0.00    0.00   90.57
06:41:29 PM  all    0.00    0.00    0.08    8.11    0.00    0.00    0.00    0.00    0.00   91.81
06:41:30 PM  all    0.67    0.00    1.51    9.54    0.00    0.00    0.00    0.00    0.00   88.28
06:41:31 PM  all   10.96    0.00    0.29   40.67    0.00    0.33    0.00    0.00    0.00   47.74
06:41:32 PM  all   12.07    0.00    0.67   31.94    0.00    0.04    0.00    0.00    0.00   55.28
06:41:33 PM  all   12.52    0.00    0.13   25.82    0.00    0.04    0.00    0.00    0.00   61.49
06:41:34 PM  all   12.56    0.00    0.67   24.61    0.00    0.04    0.00    0.00    0.00   62.12
06:41:35 PM  all   12.53    0.00    0.13   14.53    0.00    0.00    0.00    0.00    0.00   72.82
06:41:36 PM  all   12.56    0.00    0.58   14.18    0.00    0.04    0.00    0.00    0.00   72.63
06:41:37 PM  all   12.53    0.00    0.08    8.69    0.00    0.00    0.00    0.00    0.00   78.70
06:41:38 PM  all   12.62    0.00    1.25    8.23    0.00    0.00    0.00    0.00    0.00   77.89
06:41:39 PM  all   12.52    0.00    0.08    7.85    0.00    0.04    0.00    0.00    0.00   79.51
06:41:40 PM  all    8.00    0.00    8.17   32.63    0.00    0.17    0.00    0.00    0.00   51.03
06:41:41 PM  all    4.23    0.00    7.27   31.89    0.00    0.09    0.00    0.00    0.00   56.52
06:41:42 PM  all    4.62    0.00    7.40   26.55    0.00    0.21    0.00    0.00    0.00   61.22
06:41:43 PM  all    6.24    0.00    6.71   28.04    0.00    0.08    0.00    0.00    0.00   58.92
06:41:44 PM  all    5.26    0.00    8.15   25.96    0.00    0.13    0.00    0.00    0.00   60.50
06:41:45 PM  all    9.02    0.00    1.04    3.96    0.00    0.00    0.00    0.00    0.00   85.98
06:41:46 PM  all    8.60    0.00    1.59    4.09    0.00    0.04    0.00    0.00    0.00   85.68
06:41:47 PM  all    6.02    0.00    4.06   17.46    0.00    0.13    0.00    0.00    0.00   72.33
06:41:48 PM  all   15.48    0.00    7.55   21.88    0.00    0.26    0.00    0.00    0.00   54.84
06:41:49 PM  all   10.64    0.00    9.60   23.21    0.00    0.29    0.00    0.00    0.00   56.26
06:41:50 PM  all   17.60    0.00    6.78   20.46    0.00    0.29    0.00    0.00    0.00   54.86
06:41:51 PM  all   14.19    0.00    7.91   19.87    0.00    0.21    0.00    0.00    0.00   57.82
06:41:52 PM  all    9.39    0.00    7.25   18.30    0.00    0.30    0.00    0.00    0.00   64.76
06:41:53 PM  all   10.32    0.00    6.64   17.22    0.00    0.17    0.00    0.00    0.00   65.65
06:41:54 PM  all   11.15    0.00    5.92   15.35    0.00    0.43    0.00    0.00    0.00   67.15
06:41:55 PM  all   11.33    0.00    5.96   12.78    0.00    0.13    0.00    0.00    0.00   69.80
06:41:56 PM  all   13.18    0.00    7.29   12.29    0.00    0.21    0.00    0.00    0.00   67.03
06:41:57 PM  all   14.06    0.00    7.42   10.20    0.00    0.04    0.00    0.00    0.00   68.28
06:41:58 PM  all   16.17    0.00    6.31    9.22    0.00    0.26    0.00    0.00    0.00   68.05
06:41:59 PM  all   11.45    0.00    5.34    7.61    0.00    0.04    0.00    0.00    0.00   75.56
06:42:00 PM  all   12.02    0.00    4.83    8.13    0.00    0.26    0.00    0.00    0.00   74.76
06:42:01 PM  all   12.65    0.00    4.51    6.90    0.00    0.13    0.00    0.00    0.00   75.81
06:42:02 PM  all   12.60    0.00    4.55    6.13    0.00    0.13    0.00    0.00    0.00   76.60
06:42:03 PM  all   13.95    0.00    5.41    6.09    0.00    0.08    0.00    0.00    0.00   74.46
06:42:04 PM  all   17.30    0.00    7.81    8.33    0.00    0.17    0.00    0.00    0.00   66.39
06:42:05 PM  all   15.97    0.00    8.26    8.65    0.00    0.13    0.00    0.00    0.00   66.99
06:42:06 PM  all   14.54    0.00    7.02    8.33    0.00    0.13    0.00    0.00    0.00   69.99
06:42:07 PM  all   11.92    0.00    5.21    6.54    0.00    0.04    0.00    0.00    0.00   76.28
06:42:08 PM  all   13.96    0.00    5.92    6.30    0.00    0.08    0.00    0.00    0.00   73.73
