0 restore_end page_write
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 73
8 0 73
8 0 0
8 0 0
8 0 0
8 1 16
1242 10 21596
3255 636 21083
4926 587 13546
7435 570 15937
10088 608 14982
13383 596 17041
16085 436 12552
19856 514 15866
23704 494 14742
26589 352 9920
29859 391 10671
35555 612 17191
39963 469 11959
44020 389 10422
49291 476 12075
54575 447 11162
61008 521 12937
67732 529 12655
75697 87 13745
80925 100 8414
87742 499 10142
94482 465 9581
100636 433 8237
107712 482 8980
113924 421 7601
122481 567 10023
130870 548 9015
137536 447 7004
144442 438 7032
150536 389 5750
157400 429 6046
165865 513 7256
175430 587 7822
181338 359 4733
189291 478 6104
194490 332 3954
201624 444 5085
208658 430 4730
218794 616 6635
225267 410 3954
231529 386 3789
238872 442 4433
245215 379 3392
251473 380 3580
259200 466 4243
269343 588 5146
277505 476 3808
286025 478 4111
292948 380 3185
302019 532 3944
309315 421 3060
317996 496 3587
324830 387 2772
331080 352 2509
336585 341 2086
346318 565 3791
352555 359 2183
359215 381 2337
367726 488 2969
376906 514 2952
387505 587 3410
397970 583 3107
407970 562 3049
413933 338 1764
421858 447 2217
431151 499 2561
437755 374 1822
446685 517 2411
452704 341 1578
460905 480 2035
466862 334 1542
473633 380 1767
482782 513 2201
490523 420 1794
500586 550 2328
510986 596 2345
521933 596 2376
530280 469 1732
539658 582 1930
546981 425 1458
556083 503 1806
565260 498 1808
576042 559 2060
586816 564 1919
597221 572 1856
606795 542 1651
617105 567 1766
626902 539 1626
633677 366 1072
643649 551 1642
653153 520 1397
663736 602 1657
673348 551 1438
681780 471 1251
691266 524 1398
699349 418 1115
709218 507 1402
719302 526 1441
728434 500 1339
737446 498 1149
744118 366 991
752403 444 1094
760423 439 993
770773 572 1344
781383 570 1373
790557 500 1111
799252 464 1094
809971 580 1357
821310 607 1270
830868 511 1188
840170 470 1027
848796 459 954
859082 567 1153
867772 474 878
876156 451 860
