Linux 3.13.0-68-generic (ds-server2) 	10/09/2016 	_x86_64_	(24 CPU)

06:25:02 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:25:03 AM  all    0.50    0.00    1.42   12.04    0.00    0.00    0.00    0.00    0.00   86.04
06:25:04 AM  all    0.17    0.00    4.68    7.94    0.00    0.00    0.00    0.00    0.00   87.21
06:25:05 AM  all    3.34    0.00    2.46    3.59    0.00    0.00    0.00    0.00    0.00   90.60
06:25:06 AM  all    1.63    0.00    1.88    2.51    0.00    0.00    0.00    0.00    0.00   93.99
06:25:07 AM  all    1.67    0.00    1.76    2.59    0.00    0.00    0.00    0.00    0.00   93.98
06:25:08 AM  all    1.50    0.00    0.92    2.72    0.00    0.00    0.00    0.00    0.00   94.86
06:25:09 AM  all    1.63    0.00    0.96    2.46    0.00    0.00    0.00    0.00    0.00   94.95
06:25:10 AM  all    1.88    0.00    1.00    2.46    0.00    0.00    0.00    0.00    0.00   94.66
06:25:11 AM  all    1.54    0.00    1.04    2.46    0.00    0.00    0.00    0.00    0.00   94.95
06:25:12 AM  all    1.59    0.00    0.88    2.55    0.00    0.00    0.00    0.00    0.00   94.99
06:25:13 AM  all    1.47    0.00    2.27   22.32    0.00    0.00    0.00    0.00    0.00   73.95
06:25:14 AM  all    1.55    0.00    1.63    2.51    0.00    0.00    0.00    0.00    0.00   94.30
06:25:15 AM  all    1.59    0.00    1.00    2.55    0.00    0.00    0.00    0.00    0.00   94.86
06:25:16 AM  all    1.55    0.00    1.47    2.56    0.00    0.00    0.00    0.00    0.00   94.43
06:25:17 AM  all    1.34    0.00    1.05    2.55    0.00    0.00    0.00    0.00    0.00   95.06
06:25:18 AM  all    1.50    0.00    1.00    2.67    0.00    0.00    0.00    0.00    0.00   94.82
06:25:19 AM  all    1.55    0.00    1.75    2.67    0.00    0.00    0.00    0.00    0.00   94.03
06:25:20 AM  all    1.34    0.00    1.09    2.64    0.00    0.00    0.00    0.00    0.00   94.93
06:25:21 AM  all    1.46    0.00    1.67    2.51    0.00    0.00    0.00    0.00    0.00   94.35
06:25:22 AM  all    1.46    0.00    1.71    2.59    0.00    0.00    0.00    0.00    0.00   94.24
06:25:23 AM  all    1.84    0.00    1.59    2.63    0.00    0.00    0.00    0.00    0.00   93.95
06:25:24 AM  all    1.38    0.00    0.92    2.51    0.00    0.00    0.00    0.00    0.00   95.18
06:25:25 AM  all    1.26    0.00    1.05    2.68    0.00    0.00    0.00    0.00    0.00   95.02
06:25:26 AM  all    1.25    0.00    1.13    2.75    0.00    0.00    0.00    0.00    0.00   94.87
06:25:27 AM  all    0.96    0.00    1.80    2.64    0.00    0.00    0.00    0.00    0.00   94.60
06:25:28 AM  all    1.46    0.00    0.96    2.63    0.00    0.00    0.00    0.00    0.00   94.94
06:25:29 AM  all    1.30    0.00    0.92    2.60    0.00    0.00    0.00    0.00    0.00   95.18
06:25:30 AM  all    1.75    0.00    1.84    2.59    0.00    0.00    0.00    0.00    0.00   93.82
06:25:31 AM  all    1.34    0.00    0.92    2.76    0.00    0.00    0.00    0.00    0.00   94.99
06:25:32 AM  all    1.09    0.00    1.59    2.77    0.00    0.00    0.00    0.00    0.00   94.55
06:25:33 AM  all    1.42    0.00    1.71    2.80    0.00    0.00    0.00    0.00    0.00   94.07
06:25:34 AM  all    1.42    0.00    0.96    2.63    0.00    0.00    0.00    0.00    0.00   94.98
06:25:35 AM  all    1.21    0.00    2.05    2.84    0.00    0.00    0.00    0.00    0.00   93.90
06:25:36 AM  all    1.30    0.00    0.75    2.64    0.00    0.00    0.00    0.00    0.00   95.31
06:25:37 AM  all    1.05    0.00    1.64    2.64    0.00    0.00    0.00    0.00    0.00   94.67
06:25:38 AM  all    1.34    0.00    1.05    2.84    0.00    0.00    0.00    0.00    0.00   94.77
06:25:39 AM  all    1.05    0.00    1.01    2.76    0.00    0.00    0.00    0.00    0.00   95.18
06:25:40 AM  all    1.09    0.00    2.01    2.88    0.00    0.00    0.00    0.00    0.00   94.03
06:25:41 AM  all    1.00    0.00    1.71    2.84    0.00    0.00    0.00    0.00    0.00   94.44
06:25:42 AM  all    1.42    0.00    1.59    2.63    0.00    0.00    0.00    0.00    0.00   94.36
06:25:43 AM  all    1.34    0.00    1.84    2.88    0.00    0.00    0.00    0.00    0.00   93.95
06:25:44 AM  all    1.00    0.00    1.80    2.85    0.00    0.00    0.00    0.00    0.00   94.35
06:25:45 AM  all    1.13    0.00    1.84    2.88    0.00    0.04    0.00    0.00    0.00   94.11
06:25:46 AM  all    1.13    0.00    0.92    2.68    0.00    0.00    0.00    0.00    0.00   95.27
06:25:47 AM  all    1.26    0.00    1.00    2.60    0.00    0.00    0.00    0.00    0.00   95.14
06:25:48 AM  all    1.13    0.00    1.00    2.85    0.00    0.00    0.00    0.00    0.00   95.02
06:25:49 AM  all    1.17    0.00    1.09    2.76    0.00    0.00    0.00    0.00    0.00   94.99
06:25:50 AM  all    1.13    0.00    1.17    2.76    0.00    0.00    0.00    0.00    0.00   94.94
06:25:51 AM  all    1.17    0.00    1.67    2.80    0.00    0.00    0.00    0.00    0.00   94.35
06:25:52 AM  all    1.42    0.00    1.71    2.59    0.00    0.00    0.00    0.00    0.00   94.27
06:25:53 AM  all    1.34    0.00    1.67    2.76    0.00    0.00    0.00    0.00    0.00   94.23
