Linux 3.13.0-68-generic (ds-server2) 	10/07/2016 	_x86_64_	(24 CPU)

04:31:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:31:57 PM  all    3.25    0.00    2.12    0.04    0.00    0.00    0.00    0.00    0.00   94.58
04:31:58 PM  all    0.79    0.00    1.58    0.00    0.00    0.00    0.00    0.00    0.00   97.62
04:31:59 PM  all    0.08    0.00    1.13    0.17    0.00    0.00    0.00    0.00    0.00   98.62
04:32:00 PM  all    0.12    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   99.42
04:32:01 PM  all    0.00    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   99.46
04:32:02 PM  all    0.04    0.00    0.54    0.08    0.00    0.00    0.00    0.00    0.00   99.33
04:32:03 PM  all    0.08    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.42
04:32:04 PM  all    0.04    0.00    1.17    0.00    0.00    0.00    0.00    0.00    0.00   98.79
04:32:05 PM  all    0.08    0.00    0.50    0.08    0.00    0.00    0.00    0.00    0.00   99.33
04:32:06 PM  all    0.08    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.42
04:32:07 PM  all    0.04    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   98.87
04:32:08 PM  all    0.04    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   98.87
04:32:09 PM  all    0.04    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   99.42
04:32:10 PM  all    0.04    0.00    0.58    0.04    0.00    0.00    0.00    0.00    0.00   99.33
04:32:11 PM  all    0.21    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   98.25
04:32:12 PM  all    0.12    0.00    1.08    0.00    0.00    0.00    0.00    0.00    0.00   98.79
04:32:13 PM  all    0.04    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   99.42
04:32:14 PM  all    0.04    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   99.42
04:32:15 PM  all    0.08    0.00    0.54    0.08    0.00    0.00    0.00    0.00    0.00   99.29
04:32:16 PM  all    0.00    0.00    1.21    0.00    0.00    0.00    0.00    0.00    0.00   98.79
04:32:17 PM  all    0.08    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.42
04:32:18 PM  all    0.08    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.50
