Linux 3.13.0-68-generic (ds-server2) 	07/20/2016 	_x86_64_	(24 CPU)

03:34:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:34:10 PM  all    0.54    0.00    0.21    3.46    0.00    0.00    0.00    0.00    0.00   95.79
03:34:11 PM  all    2.46    0.00    0.29    1.92    0.00    0.00    0.00    0.00    0.00   95.32
03:34:12 PM  all    0.54    0.00    3.18    4.76    0.00    0.00    0.00    0.00    0.00   91.52
03:34:13 PM  all    0.08    0.00    5.67    4.09    0.00    0.00    0.00    0.00    0.00   90.15
03:34:14 PM  all    0.08    0.00    5.55    3.92    0.00    0.00    0.00    0.00    0.00   90.44
03:34:15 PM  all    0.92    0.00    3.97    3.93    0.00    0.00    0.00    0.00    0.00   91.19
03:34:16 PM  all    0.88    0.00    1.59    7.05    0.00    0.04    0.00    0.00    0.00   90.44
03:34:17 PM  all    0.08    0.00    1.25    8.07    0.00    0.00    0.00    0.00    0.00   90.59
03:34:18 PM  all    0.08    0.00    0.71    8.10    0.00    0.00    0.00    0.00    0.00   91.11
03:34:19 PM  all    0.08    0.00    1.34    8.06    0.00    0.00    0.00    0.00    0.00   90.52
03:34:20 PM  all    0.04    0.00    1.34    8.06    0.00    0.04    0.00    0.00    0.00   90.52
03:34:21 PM  all    3.75    0.00    1.75   10.20    0.00    0.12    0.00    0.00    0.00   84.18
03:34:22 PM  all    6.69    0.00    1.09   31.22    0.00    0.00    0.00    0.00    0.00   61.01
03:34:23 PM  all    4.26    0.00    1.29   23.80    0.00    0.04    0.00    0.00    0.00   70.61
03:34:24 PM  all    4.26    0.00    1.42   22.49    0.00    0.00    0.00    0.00    0.00   71.84
03:34:25 PM  all    4.26    0.00    0.67   20.58    0.00    0.00    0.00    0.00    0.00   74.49
03:34:26 PM  all    2.09    0.00    1.38   22.52    0.00    0.00    0.00    0.00    0.00   74.01
03:34:27 PM  all    0.04    0.00    0.17   15.97    0.00    0.00    0.00    0.00    0.00   83.82
03:34:28 PM  all    0.08    0.00    1.30    3.68    0.00    0.00    0.00    0.00    0.00   94.94
03:34:29 PM  all    0.13    0.00    0.33    3.79    0.00    0.04    0.00    0.00    0.00   95.71
03:34:30 PM  all    4.78    0.00    6.78   42.99    0.00    0.17    0.00    0.00    0.00   45.29
03:34:31 PM  all    5.61    0.00    6.47   31.05    0.00    0.26    0.00    0.00    0.00   56.61
03:34:32 PM  all    5.33    0.00    7.16   18.75    0.00    0.21    0.00    0.00    0.00   68.56
03:34:33 PM  all    8.70    0.00    6.41   22.12    0.00    0.17    0.00    0.00    0.00   62.59
03:34:34 PM  all   12.70    0.00    7.61   20.95    0.00    0.17    0.00    0.00    0.00   58.57
03:34:35 PM  all    6.34    0.00    7.97   20.31    0.00    0.13    0.00    0.00    0.00   65.25
03:34:36 PM  all    6.23    0.00    6.14    9.97    0.00    0.13    0.00    0.00    0.00   77.53
03:34:37 PM  all    7.01    0.00    5.56   26.09    0.00    0.26    0.00    0.00    0.00   61.08
03:34:38 PM  all   29.26    0.00    7.23   18.76    0.00    0.21    0.00    0.00    0.00   44.53
03:34:39 PM  all   13.81    0.00    6.86   12.68    0.00    0.13    0.00    0.00    0.00   66.53
03:34:40 PM  all   12.63    0.00    7.59    9.96    0.00    0.13    0.00    0.00    0.00   69.69
03:34:41 PM  all   26.41    0.00    7.72   12.43    0.00    0.25    0.00    0.00    0.00   53.19
03:34:42 PM  all   10.65    0.00   13.20   16.61    0.00    0.17    0.00    0.00    0.00   59.37
03:34:43 PM  all   14.04    0.00    9.78   14.09    0.00    0.25    0.00    0.00    0.00   61.83
03:34:44 PM  all   18.04    0.00    7.93   13.20    0.00    0.25    0.00    0.00    0.00   60.58
03:34:45 PM  all   26.27    0.00    5.37   16.07    0.00    0.17    0.00    0.00    0.00   52.12
03:34:46 PM  all    8.11    0.00    8.15   15.45    0.00    0.17    0.00    0.00    0.00   68.12
03:34:47 PM  all    8.15    0.00    8.03   12.21    0.00    0.13    0.00    0.00    0.00   71.48
03:34:48 PM  all   16.73    0.00    6.53   16.52    0.00    0.17    0.00    0.00    0.00   60.05
03:34:49 PM  all   14.26    0.00    8.71   10.56    0.00    0.13    0.00    0.00    0.00   66.34
03:34:50 PM  all   20.99    0.00    7.35   11.30    0.00    0.17    0.00    0.00    0.00   60.20
03:34:51 PM  all   12.56    0.00    5.77   10.70    0.00    0.17    0.00    0.00    0.00   70.80
03:34:52 PM  all   13.64    0.00    8.40    9.38    0.00    0.04    0.00    0.00    0.00   68.54
03:34:53 PM  all   14.56    0.00    7.32    8.59    0.00    0.08    0.00    0.00    0.00   69.45
03:34:54 PM  all   12.93    0.00    8.20   13.53    0.00    0.21    0.00    0.00    0.00   65.12
03:34:55 PM  all   10.23    0.00    7.34    7.30    0.00    0.17    0.00    0.00    0.00   74.97
03:34:56 PM  all   13.68    0.00    7.29   12.33    0.00    0.17    0.00    0.00    0.00   66.54
03:34:57 PM  all   14.36    0.00    6.78   11.57    0.00    0.21    0.00    0.00    0.00   67.08
03:34:58 PM  all    8.64    0.00    7.37    6.52    0.00    0.04    0.00    0.00    0.00   77.43
03:34:59 PM  all   15.08    0.00    7.09    8.33    0.00    0.08    0.00    0.00    0.00   69.41
03:35:00 PM  all   20.38    0.00    7.73    6.43    0.00    0.17    0.00    0.00    0.00   65.29
03:35:01 PM  all   16.43    0.00    7.19    7.45    0.00    0.26    0.00    0.00    0.00   68.68
03:35:02 PM  all   12.80    0.00    8.73   11.95    0.00    0.34    0.00    0.00    0.00   66.19
03:35:03 PM  all   12.83    0.00    7.42   10.77    0.00    0.21    0.00    0.00    0.00   68.76
03:35:04 PM  all   17.26    0.00    8.75    5.85    0.00    0.17    0.00    0.00    0.00   67.97
03:35:05 PM  all   18.92    0.00    7.91    9.76    0.00    0.29    0.00    0.00    0.00   63.12
03:35:06 PM  all   19.11    0.00    7.80    6.37    0.00    0.21    0.00    0.00    0.00   66.51
03:35:07 PM  all   14.47    0.00    9.91    6.19    0.00    0.13    0.00    0.00    0.00   69.30
03:35:08 PM  all    8.90    0.00    7.92    6.90    0.04    0.04    0.00    0.00    0.00   76.19
03:35:09 PM  all   15.14    0.00    7.87    8.25    0.00    0.21    0.00    0.00    0.00   68.54
03:35:10 PM  all   18.19    0.00    6.44    5.10    0.00    0.08    0.00    0.00    0.00   70.19
03:35:11 PM  all    9.52    0.00    7.08    4.89    0.00    0.08    0.00    0.00    0.00   78.42
03:35:12 PM  all   12.07    0.00    6.63    5.69    0.00    0.08    0.00    0.00    0.00   75.52
03:35:13 PM  all   26.18    0.00    6.57    4.46    0.00    0.08    0.00    0.00    0.00   62.71
03:35:14 PM  all   16.91    0.00    5.06    5.02    0.00    0.17    0.00    0.00    0.00   72.85
03:35:15 PM  all   12.66    0.00    6.37    5.28    0.00    0.08    0.00    0.00    0.00   75.61
03:35:16 PM  all   14.01    0.00    8.07    6.83    0.00    0.09    0.00    0.00    0.00   71.01
03:35:17 PM  all   14.51    0.00    8.58    5.21    0.00    0.17    0.00    0.00    0.00   71.53
03:35:18 PM  all   15.37    0.00    7.07    8.09    0.00    0.08    0.00    0.00    0.00   69.38
03:35:19 PM  all   13.25    0.00   10.21    6.58    0.00    0.04    0.00    0.00    0.00   69.92
03:35:20 PM  all   13.14    0.00    8.15    7.69    0.00    0.00    0.00    0.00    0.00   71.02
03:35:21 PM  all   10.27    0.00    6.69    5.50    0.00    0.13    0.00    0.00    0.00   77.41
03:35:22 PM  all   10.97    0.00    5.29    5.00    0.00    0.09    0.00    0.00    0.00   78.65
03:35:23 PM  all   19.78    0.00    9.59    4.40    0.00    0.13    0.00    0.00    0.00   66.10
03:35:24 PM  all   19.34    0.00    8.24    3.97    0.00    0.04    0.00    0.00    0.00   68.40
03:35:25 PM  all   27.34    0.00    5.63    3.46    0.00    0.08    0.00    0.00    0.00   63.48
03:35:26 PM  all   14.38    0.00    7.78    5.87    0.00    0.13    0.00    0.00    0.00   71.84
03:35:27 PM  all   22.65    0.00    4.44    3.00    0.00    0.04    0.00    0.00    0.00   69.86
03:35:28 PM  all   25.50    0.00    5.24    3.68    0.00    0.04    0.00    0.00    0.00   65.54
03:35:29 PM  all   11.84    0.00    4.52    4.26    0.00    0.13    0.00    0.00    0.00   79.25
03:35:30 PM  all   17.67    0.00    6.72    4.18    0.00    0.08    0.00    0.00    0.00   71.34
03:35:31 PM  all   12.25    0.00    6.30    6.00    0.00    0.13    0.00    0.00    0.00   75.32
03:35:32 PM  all   13.36    0.00    6.13    5.02    0.00    0.00    0.00    0.00    0.00   75.49
03:35:33 PM  all   14.43    0.00    8.85    5.19    0.00    0.00    0.00    0.00    0.00   71.52
03:35:34 PM  all   11.37    0.00    5.45    5.24    0.00    0.08    0.00    0.00    0.00   77.84
03:35:35 PM  all   12.52    0.00    6.02    4.33    0.00    0.08    0.00    0.00    0.00   77.05
03:35:36 PM  all   19.95    0.00    6.37    5.74    0.00    0.08    0.00    0.00    0.00   67.86
03:35:37 PM  all   22.84    0.00    6.22    5.71    0.00    0.08    0.00    0.00    0.00   65.14
03:35:38 PM  all   11.89    0.00    6.70    5.99    0.00    0.04    0.00    0.00    0.00   75.38
03:35:39 PM  all    8.34    0.00    8.38    3.28    0.00    0.04    0.00    0.00    0.00   79.96
03:35:40 PM  all   10.96    0.00    7.67    3.96    0.00    0.13    0.00    0.00    0.00   77.29
03:35:41 PM  all   22.47    0.00    5.83    4.38    0.00    0.13    0.00    0.00    0.00   67.19
03:35:42 PM  all   12.06    0.00    4.43    2.66    0.00    0.00    0.00    0.00    0.00   80.86
03:35:43 PM  all   19.38    0.00    5.80    4.27    0.00    0.09    0.00    0.00    0.00   70.47
03:35:44 PM  all   11.59    0.00    4.29    3.74    0.00    0.04    0.00    0.00    0.00   80.35
03:35:45 PM  all   11.48    0.00    5.51    4.41    0.00    0.08    0.00    0.00    0.00   78.52
03:35:46 PM  all   13.18    0.00    5.40    5.02    0.00    0.09    0.00    0.00    0.00   76.32
03:35:47 PM  all   15.47    0.00    7.82    5.11    0.00    0.13    0.00    0.00    0.00   71.47
03:35:48 PM  all   12.83    0.00    5.84    3.77    0.00    0.04    0.00    0.00    0.00   77.52
03:35:49 PM  all   13.25    0.00    5.31    3.70    0.00    0.08    0.00    0.00    0.00   77.66
03:35:50 PM  all    9.50    0.00   20.69    3.51    0.00    0.08    0.00    0.00    0.00   66.22
03:35:51 PM  all   23.80    0.00    6.17    4.95    0.00    0.08    0.00    0.00    0.00   65.00
03:35:52 PM  all   12.73    0.00    4.63    5.18    0.00    0.00    0.00    0.00    0.00   77.46
03:35:53 PM  all   15.31    0.00    6.80    6.97    0.00    0.17    0.00    0.00    0.00   70.76
03:35:54 PM  all   15.68    0.00    6.13    6.68    0.00    0.09    0.00    0.00    0.00   71.42
03:35:55 PM  all   14.26    0.00    6.66    4.37    0.00    0.04    0.00    0.00    0.00   74.67
03:35:56 PM  all   13.31    0.00    6.87    4.89    0.00    0.04    0.00    0.00    0.00   74.88
03:35:57 PM  all   13.09    0.00    6.27    4.49    0.00    0.08    0.00    0.00    0.00   76.06
03:35:58 PM  all   15.71    0.00    4.87    4.35    0.00    0.09    0.00    0.00    0.00   74.99
03:35:59 PM  all   12.17    0.00    5.18    2.44    0.00    0.00    0.00    0.00    0.00   80.21
03:36:00 PM  all   14.07    0.00    4.22    4.26    0.00    0.00    0.00    0.00    0.00   77.44
03:36:01 PM  all   13.30    0.00    6.61    4.13    0.00    0.09    0.00    0.00    0.00   75.87
03:36:02 PM  all   14.66    0.00    5.61    3.95    0.00    0.04    0.00    0.00    0.00   75.73
03:36:03 PM  all   15.69    0.00    6.89    4.29    0.00    0.13    0.00    0.00    0.00   73.00
03:36:04 PM  all   16.88    0.00    4.93    2.06    0.00    0.04    0.00    0.00    0.00   76.08
03:36:05 PM  all   13.05    0.00    6.74    5.29    0.00    0.09    0.00    0.00    0.00   74.83
03:36:06 PM  all   11.89    0.00    5.92    3.34    0.00    0.04    0.00    0.00    0.00   78.81
03:36:07 PM  all   15.63    0.00    6.73    7.03    0.00    0.17    0.00    0.00    0.00   70.44
03:36:08 PM  all   18.84    0.00    4.97    5.74    0.00    0.09    0.00    0.00    0.00   70.38
03:36:09 PM  all   15.72    0.00    5.20    3.77    0.00    0.08    0.00    0.00    0.00   75.22
03:36:10 PM  all   10.39    0.00    6.12    4.19    0.00    0.00    0.00    0.00    0.00   79.30
03:36:11 PM  all    9.64    0.00    6.30    3.21    0.00    0.04    0.00    0.00    0.00   80.80
03:36:12 PM  all    9.83    0.00    5.24    2.68    0.00    0.04    0.00    0.00    0.00   82.21
03:36:13 PM  all   11.85    0.00    7.81    3.27    0.00    0.00    0.00    0.00    0.00   77.07
03:36:14 PM  all   13.48    0.00    5.11    4.16    0.00    0.00    0.00    0.00    0.00   77.25
03:36:15 PM  all   12.03    0.00    6.46    4.16    0.00    0.13    0.00    0.00    0.00   77.22
03:36:16 PM  all   17.59    0.00    4.77    3.66    0.00    0.09    0.00    0.00    0.00   73.89
03:36:17 PM  all   12.98    0.00    6.32    2.61    0.00    0.04    0.00    0.00    0.00   78.04
03:36:18 PM  all   12.66    0.00    4.25    3.36    0.00    0.08    0.00    0.00    0.00   79.64
